col,stat,tipo,canal,canal_desc,operacion,window,is_smmlv
trx_mnt_total,trx,mnt,,,total,none,False
trx_mnt_total_smmlv,trx,mnt,,,total,none,True
trx_cnt_total,trx,cnt,,,total,none,False
trx_cnt_app_per_pag,trx,cnt,app_per_pag,app_per_pag,none,none,False
trx_cnt_app_per_pag_ob,trx,cnt,app_per_pag,app_per_pag,ob,none,False
trx_cnt_app_per_tfy,trx,cnt,app_per_tfy,app_per_tfy,none,none,False
trx_cnt_app_per_trf,trx,cnt,app_per,app personas,trf,none,False
trx_cnt_app_per_ava,trx,cnt,app_per,app personas,ava,none,False
trx_cnt_app_per_ut_c_cr,trx,cnt,app_per_ut_c,app_per_ut_c,cr,none,False
trx_cnt_app_pyme_trf,trx,cnt,app_pyme,app pymes,trf,none,False
trx_cnt_bill_mvl_cmpr,trx,cnt,bill_mvl,billetera movil,cmpr,none,False
trx_cnt_btn_bco_trf,trx,cnt,btn_bco,boton banco,trf,none,False
trx_cnt_cajero_pag,trx,cnt,cajero,cajero,pag,none,False
trx_cnt_cajero_ava,trx,cnt,cajero,cajero,ava,none,False
trx_cnt_cajero_ret,trx,cnt,cajero,cajero,ret,none,False
trx_cnt_cajero_trf,trx,cnt,cajero,cajero,trf,none,False
trx_cnt_cr_bcrio_ret,trx,cnt,cr_bcrio,cr_bcrio,ret,none,False
trx_cnt_cr_bcrio_trf,trx,cnt,cr_bcrio,cr_bcrio,trf,none,False
trx_cnt_pos_cmpr,trx,cnt,pos,pos,cmpr,none,False
trx_cnt_pos_pag,trx,cnt,pos,pos,pag,none,False
trx_cnt_pos_ret,trx,cnt,pos,pos,ret,none,False
trx_cnt_pse_emp_cmpr,trx,cnt,pse_emp,pse empresas,cmpr,none,False
trx_cnt_pse_per_cmpr,trx,cnt,pse_per,pse personas,cmpr,none,False
trx_cnt_rec_e_v_cmpr,trx,cnt,rec_e_v,rec_e_v,cmpr,none,False
trx_cnt_rec_e_v_pag,trx,cnt,rec_e_v,rec_e_v,pag,none,False
trx_cnt_suc_fis_dep,trx,cnt,suc_fis_dep,suc_fis_dep,none,none,False
trx_cnt_suc_fis_pag,trx,cnt,suc_fis,sucursal fisica,pag,none,False
trx_cnt_suc_fis_ret,trx,cnt,suc_fis,sucursal fisica,ret,none,False
trx_cnt_suc_fis_trf,trx,cnt,suc_fis,sucursal fisica,trf,none,False
trx_cnt_suc_tel_pag_ob,trx,cnt,suc_tel_pag,sucursal telefonica,ob,none,False
